id,name,date,month,sex,party,topcategory,link
cf,campaign fundraising,,,,,1,
ef,election fraud,,,,,1,
suc,surrogate campaigning,,,,,1,
af,America First,,,,,1,
endor,endorsement,,,,,1,
eco,economy,,,,,1,
dam,downsyndrrom awareness month,,,,,2,
fy,Fentanyl,,,,,2,
ty,Tylenol,,,,,2,
me,medication,,,,,2,
heca,healthcare,,,,,2,
if,inflation,,,,,3,
iv,investments,,,,,3,
sc,spending cuts,,,,,3,
cor,corruption,,,,,8,
doge,DOGE,,,,,3,
js,justice system,,,,,4,
par,pardon,,,,,4,
le,law enforcement,,,,,4,
sec,second amendment,,,,,4,
fos,freedom of speech,,,,,4,
lp,legal proceedings,,,,,4,
emerg,emergency management,,,,,4,
sch,school system,,,,,5,
uni,universities,,,,,5,
ta,taxes,,,,,6,
caaa,corporate and administrative announcements,,,,,6,
ng,national guards,,,,,7,
nwt,nuclear weapons testing,,,,,7,
ma,Marine,,,,,7,
nas,national security,,,,,7,
usdod,Department of Defense,,,,,7,
mu,murderer,,,,,8,
cr,criminals,,,,,8,
pa,personal attacks,,,,,9,
fk,fake news,,,,,10,
mc,media criticism,,,,,10,
u,Univision,,,,,10,
p,press,,,,,10,
tva,TV appearances,,,,,10,
t,tariffs,,,,,11,
ttb,TikTok Ban,,,,,11,
eu,European Union,,,,,11,
afd,Alternative für Deutschland,,,,,11,
ham,Hamas,,,,,11,
pair,political alliances and international relations,,,,,11,
pm,political meetings,,,,,11,
ic,international comparison,,,,,11,
un,United Nations,,,,,11,
bbb,Big Beautiful Bill,,,,,12,
o,opposition,,,,,12,
ack,assassination attempt on Charlie Kirk,,,,,12,
ice,ICE,,,,,12,
aogo,appointment of government officials,,,,,12,
rus,Russia,,,,,13,
ukr,Ukraine,,,,,13,
gaz,Gaza Stripe,,,,,13,
tha,Thailand,,,,,13,
kam,Kambodscha,,,,,13,
grl,Greenland,,,,,13,
irn,Iran,,,,,13,
cap,capitol riot ,,,,,13,
b,Blutbad (Bloodbath in Bezug auf Russland/Ukraine),,,,,13,
g,Golf,,,,,14,
ba,Basketball,,,,,14,
fball,football,,,,,14,
icehock,icehockey,,,,,14,
wt,wind turbines,,,,,15,
cc,climate change,,,,,15,
ep,energy policy,,,,,15,
rb,religious beliefs,,,,,16,
jew,jews,,,,,16,
w,wife,,,,,18,
c,children,,,,,18,
dil,daughter in law,,,,,18,
npp,nobel peace price,,,,,19,
fpp,FIFA Peace Prize,,,,,19,
aa,academy awards,,,,,19,
boo,book,,,,,19,
cel,celebrites,,,,,19,
p1,post1,31_01_26,jan26,,,,https://truthsocial.com/@realDonaldTrump/posts/115991701359412321
kn,Kristi Noem,,,1,2,,
dohs,Department of Homeland Security,,,,,,
lg,Local Governments,,,,,,
lopo,Local Police,,,,,,
pr,Protestors,,,,,,
rio,Rioters,,,,,,
ins,Insurrectionists,,,,,,
usm,US Military,,,,,,
p2,post2,31_01_26,jan26,,,,https://truthsocial.com/@realDonaldTrump/posts/115991359481785479
lw,Leigh Wambsganss,,,1,2,,
vit,Voters in Texas’ 9th State Senate District,,,,,,
dp,Dan Patrick,,,,,,
d,democrats,,,,1,,
r,republicans,,,,2,,
p3,post3,31_01_26,jan26,,,,https://truthsocial.com/@realDonaldTrump/posts/115989916560112535
biadm,Biden Administration,,,,,,
io,Ilhan Omar,,,1,1,,
pos,People of Somalia,,,,,,
gom,government of minnesota,,,,,,
p4,post4,31_01_26,jan26,,,,https://truthsocial.com/@realDonaldTrump/posts/115987481835523508
th,Tom Homan,,,2,2,,
p5,post5,31_01_26,jan26,,,,https://truthsocial.com/@realDonaldTrump/posts/115987465493616768
rll,Radical Left Lunatics,,,1,2,,
p6,post6,31_01_26,jan26,,,,https://truthsocial.com/@realDonaldTrump/posts/115987233609226463
mt,melania trump,,,1,2,,
meli,MELANIA,,,,,,
p7,post7,31_01_26,jan26,,,,https://truthsocial.com/@realDonaldTrump/posts/115987100169435643
p8,post8,31_01_26,jan26,,,,https://truthsocial.com/@realDonaldTrump/posts/115986962139100209
bls,Bureau of Labor Statistics,,,,,,
bm,Brett Matsumoto,,,2,3,,
